REVIEW_YEAR,EFFECTIVE_DATE,PREMIUM_BEFORE,SUM_ASSURED_BEFORE,CRITICAL_ILLNESS_BEFORE,AGE_AT_REVIEW,OPTIMUM_PREMIUM_5Y,OPTIMUM_PREMIUM_10Y,BRANCH,REVIEW_OUTCOME,ASSIGNED_FLAG,ASTERISKED_ORPHAN,SINGLE,JOINT_LIFE_1ST,DUAL_LIFE,PRIMARY_AGENT_STATUS
30,08/06/2020,231.61,345693.0,No,60,560.58,756.99,East Gate,Lapsed Immediately,N,Y,N,N,Y,Inactive
30,12/06/2020,40.0,40765.0,No,62,53.36,76.25,Galway,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,30/06/2020,55.0,329965.0,Yes,59,102.69,156.58,Moynalty,Option 1a - Other Premium Increase,Y,N,N,N,Y,Inactive
30,30/06/2020,80.0,192513.0,No,69,238.32,298.88,Tralee,Option 1 - 5 year increase,Y,Y,N,N,Y,Inactive
30,30/06/2020,107.83,73100.5,No,69,324.31,413.46,East Gate,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
30,09/07/2020,312.69,60377.0,No,76,668.32,861.62,Fermoy,Option 1a - Other Premium Increase,N,N,N,N,Y,Inactive
30,23/07/2020,83.62,54599.0,No,66,190.44,245.75,Dublin,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,27/07/2020,63.87,62850.5,No,69,115.0,147.25,Galway,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
25,30/10/2018,202.24,185172.0,No,58,400.58,582.23,Dublin,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
30,10/08/2020,187.61,160811.5,Yes,54,206.69,325.4,Galway,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,10/08/2020,164.66,88494.0,No,80,340.12,406.86,South Dublin,Lapsed Immediately,N,N,N,N,Y,Inactive
30,20/08/2020,228.73,261326.0,No,66,320.27,545.77,Galway,Option 1 - 5 year increase,Y,N,N,N,Y,Inactive
30,20/08/2020,164.62,27440.5,No,84,366.79,549.63,Cork,Lapsed Immediately,N,N,Y,N,N,Inactive
30,31/08/2020,112.57,28142.0,Yes,76,140.24,194.12,Fermoy,Option 3 - Maintain current premium and reduce benefits,N,N,Y,N,N,Inactive
30,01/09/2020,557.52,67261.5,No,77,1201.88,1538.11,Cork,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,07/09/2020,379.33,52794.5,No,68,694.91,918.47,Cork,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,11/09/2020,63.82,41862.5,No,66,80.99,134.4,Dublin,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
30,01/10/2020,949.54,79191.0,No,72,2206.3,2883.53,South Dublin,Lapsed Immediately,N,N,N,N,Y,Inactive
30,02/10/2020,400.1,158382.0,Yes,65,674.66,830.53,Moynalty,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
30,05/10/2020,196.72,131986.0,No,70,425.57,594.34,Galway South,Option 1 - 5 year increase,N,N,N,N,Y,Active
30,08/10/2020,492.49,39594.0,No,80,1018.69,1260.59,Moynalty,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
30,12/10/2020,50.0,25523.5,No,77,141.56,172.07,Moynalty,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
30,15/10/2020,323.26,84226.0,No,68,801.88,1053.1,Moynalty,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
30,15/10/2020,250.0,62502.0,Yes,73,406.37,502.43,Cork,Lapsed Immediately,N,N,N,N,Y,Inactive
30,16/10/2020,85.33,93326.0,No,66,352.34,455.81,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,Y,N,Y,N,Inactive
30,01/10/2020,137.81,126000.0,No,64,181.69,246.53,Galway South,Option 1 - 5 year increase,N,Y,N,N,Y,Inactive
30,19/10/2020,191.45,105180.0,Yes,67,353.56,473.23,Moynalty,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,23/10/2020,46.29,9794.0,No,62,53.92,73.48,Galway,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
30,30/10/2020,200.0,19046.5,No,73,335.41,398.11,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
30,23/10/2020,164.62,84226.0,No,65,507.9,697.19,East Gate,Option 1a - Other Premium Increase,N,N,N,Y,N,Inactive
30,05/10/2020,55.13,87990.5,No,67,62.76,96.15,Tralee,Lapsed Immediately,N,N,Y,N,N,Inactive
30,27/10/2020,380.92,25395.0,No,78,1158.84,1660.29,Moynalty,Option 1a - Other Premium Increase,N,N,Y,N,N,Inactive
30,30/10/2020,135.72,64174.5,No,68,259.69,372.69,Moynalty,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
30,07/12/2020,304.74,12185.0,No,79,922.5,1231.75,Cork,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,14/12/2020,115.0,65993.0,No,71,252.32,344.82,Moynalty,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
25,08/01/2016,137.83,105588.0,No,58,259.89,358.11,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,Y,N,Y,N,Inactive
30,08/01/2021,175.92,105588.0,No,58,396.19,534.93,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,Y,N,Y,N,Inactive
25,14/01/2016,243.11,80690.0,No,58,274.59,408.08,Moynalty,Lapsed Immediately,N,N,N,N,Y,Inactive
30,15/01/2021,162.74,104068.5,Yes,55,218.06,256.68,Cork,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
25,29/01/2016,128.4,81102.5,No,60,181.8,250.46,Galway,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
25,18/01/2016,281.09,65993.0,No,65,478.46,641.5,Tralee,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,18/01/2021,610.65,65993.0,No,65,1109.14,1448.93,Tralee,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
25,21/01/2016,269.8,32412.0,No,72,504.36,624.49,Galway South,Option 3 - Maintain current premium and reduce benefits,N,N,Y,N,N,Inactive
25,29/01/2016,289.95,59395.0,No,66,352.88,616.52,Galway,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
25,08/02/2016,70.36,81980.0,No,54,87.53,126.64,Galway South,Option 1 - 5 year increase,N,Y,N,N,Y,Inactive
25,04/02/2016,148.46,65993.0,No,63,344.91,466.01,Tralee,Option 3 - Maintain current premium and reduce benefits,N,N,N,Y,N,Inactive
30,04/02/2021,189.46,65993.0,No,63,397.34,509.85,Tralee,Option 3 - Maintain current premium and reduce benefits,N,N,N,Y,N,Inactive
25,05/02/2016,199.72,36032.5,No,76,312.25,420.47,Cork,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,05/02/2021,398.51,36032.5,No,76,744.58,940.97,Cork,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
25,08/02/2016,172.01,106324.5,No,67,288.36,395.15,Moynalty,Option 1 - 5 year increase,Y,N,Y,N,N,Inactive
25,12/02/2016,382.02,39595.0,No,73,476.42,661.37,Moynalty,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
30,12/02/2021,608.04,39595.0,No,73,1238.07,1487.31,Moynalty,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
25,12/02/2016,293.55,39595.0,No,73,319.3,559.56,Tralee,Option 1 - 5 year increase,N,Y,Y,N,N,Inactive
30,12/02/2021,260.0,39595.0,No,73,567.96,764.86,Tralee,Option 4 - Cover allowed to expire,N,Y,Y,N,N,Inactive
30,15/02/2021,633.21,92390.0,Yes,71,1243.2,1822.69,Fermoy,Lapsed Immediately,N,N,Y,N,N,Inactive
25,18/02/2016,728.43,101070.0,No,62,1147.75,1555.63,Moynalty,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,18/02/2021,1210.0,101070.0,No,62,2231.0,2934.5,Moynalty,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
25,18/02/2016,335.97,97725.5,No,66,560.97,850.8,Moynalty,Option 3 - Maintain current premium and reduce benefits,N,N,N,Y,N,Inactive
30,18/02/2021,428.8,97725.5,No,66,1077.05,1415.47,Moynalty,Option 3 - Maintain current premium and reduce benefits,N,N,N,Y,N,Inactive
25,22/02/2016,66.66,35209.0,No,65,156.32,193.03,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,Y,N,Y,N,Inactive
30,22/02/2021,66.66,35209.0,No,65,135.33,157.27,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,Y,N,Y,N,Inactive
25,22/02/2016,55.61,63487.0,No,61,109.02,134.3,Tralee,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
25,29/02/2016,2134.36,95232.0,No,62,3504.87,5042.88,Moynalty,Option 3 - Maintain current premium and reduce benefits,N,Y,N,Y,N,Inactive
30,26/02/2021,2724.05,95232.0,No,62,5828.78,7951.86,Moynalty,Lapsed Immediately,N,Y,N,Y,N,Inactive
25,29/02/2016,247.68,84682.5,No,69,447.92,602.38,Galway,Option 1 - 5 year increase,Y,N,Y,N,N,Inactive
25,07/03/2016,450.27,281546.5,Yes,62,857.33,1170.47,East Gate,Lapsed Immediately,N,Y,Y,N,N,Inactive
25,07/03/2016,59.08,78791.5,No,54,108.68,141.59,Galway,Lapsed Immediately,N,N,N,Y,N,Inactive
25,07/03/2016,271.6,46391.5,No,81,570.04,706.37,Galway,Option 3 - Maintain current premium and reduce benefits,N,Y,Y,N,N,Inactive
30,05/03/2021,271.6,46391.5,No,81,549.06,634.63,Galway,Option 3 - Maintain current premium and reduce benefits,N,Y,Y,N,N,Inactive
25,08/03/2016,578.81,65560.5,Yes,62,647.45,864.77,South Dublin,Option 1 - 5 year increase,N,Y,N,Y,N,Inactive
30,08/03/2021,826.33,65560.5,Yes,62,1405.72,1834.54,South Dublin,Option 1 - 5 year increase,N,Y,N,Y,N,Inactive
25,14/03/2016,67.17,25975.0,No,62,147.28,194.49,Galway,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
25,14/03/2016,110.25,41500.0,Yes,62,127.42,173.19,Dublin,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
25,15/03/2016,146.6,92390.0,No,58,238.15,387.38,Cork,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
25,21/03/2016,141.61,51643.5,No,69,318.99,412.91,Dublin,Option 1a - Other Premium Increase,N,N,N,N,Y,Inactive
30,22/03/2021,255.27,51643.5,No,69,335.38,480.3,Dublin,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
25,21/03/2016,265.43,26323.5,No,75,391.29,602.95,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,Y,N,N,Y,Inactive
25,21/03/2016,52.0,80407.0,No,62,61.54,95.88,South Dublin,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,22/03/2021,61.54,80407.0,No,62,122.58,149.5,South Dublin,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
25,21/03/2016,85.09,92296.5,No,65,127.06,178.08,Galway South,Option 3 - Maintain current premium and reduce benefits,N,Y,N,N,Y,Inactive
30,22/03/2021,66.85,92296.5,No,65,110.73,152.22,Galway South,Option 4 - Cover allowed to expire,N,Y,N,N,Y,Inactive
25,29/03/2016,443.23,214993.0,No,69,474.7,682.04,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
30,25/03/2021,565.68,214993.0,No,69,1160.46,1526.95,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
25,29/03/2016,130.0,126974.0,Yes,59,313.09,386.52,Galway South,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,29/03/2021,150.0,126974.0,Yes,59,253.0,321.66,Galway South,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
25,29/03/2016,324.14,63546.0,No,59,588.25,863.31,East Gate,Option 1 - 5 year increase,N,Y,N,Y,N,Inactive
30,29/03/2021,446.7,63546.0,No,59,986.27,1316.09,East Gate,Option 3 - Maintain current premium and reduce benefits,N,Y,N,Y,N,Inactive
25,04/04/2016,127.63,96414.5,No,61,255.42,381.77,Galway,Option 3 - Maintain current premium and reduce benefits,N,N,N,Y,N,Inactive
30,06/04/2021,162.9,96414.5,No,61,428.0,553.86,Galway,Option 3 - Maintain current premium and reduce benefits,N,N,N,Y,N,Inactive
25,05/04/2016,126.64,148771.0,Yes,48,153.35,196.74,Galway,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,06/04/2021,106.96,148771.0,Yes,48,173.72,221.4,Galway,Option 4 - Cover allowed to expire,N,N,Y,N,N,Inactive
25,08/04/2016,470.0,75419.5,No,73,543.42,758.84,Moynalty,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
25,25/04/2016,127.63,36574.0,No,77,228.72,297.15,South Dublin,Option 1 - 5 year increase,N,Y,N,Y,N,Inactive
25,06/05/2016,163.82,24354.0,No,79,359.32,441.08,Tralee,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
30,06/05/2021,255.27,24354.0,No,79,432.63,513.44,Tralee,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
25,09/05/2016,236.08,131983.5,No,56,241.81,455.39,Cork,Option 1 - 5 year increase,Y,N,N,Y,N,Inactive
25,10/05/2016,199.45,39595.0,No,73,413.04,585.88,Moynalty,Lapsed Immediately,N,N,N,N,Y,Inactive
25,13/05/2016,700.0,45000.0,No,72,1142.19,1435.73,Galway,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,13/05/2021,1200.0,45000.0,No,72,2000.14,2450.0,Galway,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
25,13/05/2016,466.95,39595.0,No,51,581.34,916.9,Galway South,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,28/05/2021,70.36,113756.0,No,66,259.19,344.06,Dublin,Lapsed Immediately,N,N,N,N,Y,Active
25,30/05/2016,182.33,65993.0,No,70,298.67,440.74,Moynalty,Option 2 - 10 year increase,N,N,Y,N,N,Inactive
25,07/06/2016,100.0,109689.0,No,60,157.22,214.92,Galway,Lapsed Immediately,N,N,N,N,Y,Inactive
25,07/06/2016,182.23,180380.5,Yes,59,424.43,542.67,South Dublin,Option 3a - Reduce Premium and Benefits,N,Y,Y,N,N,Inactive
25,13/06/2016,206.9,263614.0,No,62,421.45,575.92,Dublin,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,14/06/2021,242.55,263614.0,No,62,292.15,476.65,Dublin,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,14/06/2021,281.43,158826.0,No,69,665.67,925.01,Galway,Lapsed Immediately,N,Y,N,N,Y,Inactive
25,17/06/2016,305.34,197977.5,No,64,558.95,789.2,Cork,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
25,17/06/2016,1140.67,47168.0,Yes,64,1392.18,1902.8,Galway,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
30,17/06/2021,1776.81,47168.0,Yes,64,3239.18,4143.65,Galway,Option 1a - Other Premium Increase,N,N,N,Y,N,Inactive
25,20/06/2016,102.9,172845.0,No,59,135.33,204.47,Cork,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,18/06/2021,172.73,172845.0,No,59,361.55,506.01,Cork,Option 1a - Other Premium Increase,N,N,N,N,Y,Inactive
25,20/06/2016,100.84,57007.0,No,61,150.44,249.61,Cork,Option 1 - 5 year increase,Y,N,N,N,Y,Inactive
30,21/06/2021,100.0,57007.0,No,61,191.55,297.88,Cork,Option 3 - Maintain current premium and reduce benefits,Y,N,N,N,Y,Inactive
25,24/06/2016,773.98,26323.5,No,75,1429.64,1786.06,Fermoy,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
25,04/07/2016,243.11,72940.0,No,67,315.59,461.47,Galway,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,02/07/2021,402.79,72940.0,No,67,835.61,1044.87,Galway,Lapsed Immediately,N,N,N,N,Y,Inactive
30,09/07/2021,256.56,43411.0,No,73,296.62,437.26,Moynalty,Lapsed Immediately,N,N,Y,N,N,Inactive
25,11/07/2016,165.93,63814.0,Yes,53,194.55,250.33,East Gate,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
25,29/07/2016,38.09,37603.5,No,64,74.34,92.46,Roscommon,Option 3 - Maintain current premium and reduce benefits,N,N,N,Y,N,Inactive
30,30/07/2021,38.09,37603.5,No,64,78.15,92.46,Roscommon,Option 1a - Other Premium Increase,N,N,N,Y,N,Inactive
25,18/07/2016,130.41,49961.5,Yes,64,204.8,272.98,Galway,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,19/07/2021,204.8,49961.5,Yes,64,378.35,465.59,Galway,Option 2 - 10 year increase,N,N,Y,N,N,Inactive
25,18/07/2016,3162.56,76009.5,No,67,3253.85,6022.58,Cork,Option 3a - Reduce Premium and Benefits,N,N,Y,N,N,Inactive
25,18/07/2016,232.18,322480.0,Yes,49,331.35,427.18,Moynalty,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,19/07/2021,267.41,322480.0,Yes,49,372.3,500.06,Moynalty,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
25,19/07/2016,215.0,164850.5,No,63,317.99,478.17,South Dublin,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,19/07/2021,405.85,164850.5,No,63,851.07,1156.61,South Dublin,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
25,25/07/2016,86.52,19046.5,No,73,138.98,177.12,Cork,Option 1a - Other Premium Increase,N,N,N,N,Y,Active
30,26/07/2021,115.0,19046.5,No,73,216.09,263.3,Cork,Option 1 - 5 year increase,N,N,N,N,Y,Active
25,27/07/2016,201.69,57737.0,No,65,207.42,377.63,Galway,Option 1a - Other Premium Increase,N,N,N,Y,N,Inactive
30,27/07/2021,207.42,57737.0,No,65,330.43,471.5,Galway,Option 3 - Maintain current premium and reduce benefits,N,N,N,Y,N,Inactive
25,25/07/2016,164.28,54293.5,Yes,61,231.04,343.56,Moynalty,Option 1 - 5 year increase,N,Y,N,Y,N,Inactive
25,29/07/2016,65.13,72389.5,No,66,118.54,168.62,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,N,N,Y,N,Inactive
30,30/07/2021,65.13,72389.5,No,66,188.16,232.51,South Dublin,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
25,25/07/2016,168.0,112657.0,Yes,61,177.54,286.25,Galway South,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
25,29/07/2016,156.35,52795.0,No,65,284.14,441.96,Moynalty,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,30/07/2021,121.55,52795.0,No,65,205.47,290.83,Moynalty,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
25,02/08/2016,389.85,65993.0,No,67,652.97,996.17,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,N,Y,N,N,Inactive
30,03/08/2021,92.61,65993.0,No,67,254.73,432.58,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,N,Y,N,N,Inactive
